setting,dataset,sample_count,strict_boundary_f1,strict_span_f1,relaxed_boundary_f1,relaxed_span_f1,mean_token_count
full,UD_Chinese-GSD,500,0.933861,0.838666,0.942273,0.933946,26.484
full,UD_Chinese-PUD,1000,0.930035,0.828472,0.935117,0.925353,23.878
full,UD_Chinese-HK,1004,0.920052,0.80333,0.929394,0.933888,10.504
w/o char_identity,UD_Chinese-GSD,500,0.929912,0.833399,0.94297,0.934439,26.376
w/o char_identity,UD_Chinese-PUD,1000,0.923266,0.817341,0.933871,0.924316,23.773
w/o char_identity,UD_Chinese-HK,1004,0.916067,0.795638,0.929584,0.934368,10.44
w/o char_type,UD_Chinese-GSD,500,0.935579,0.845422,0.945617,0.93695,26.194
w/o char_type,UD_Chinese-PUD,1000,0.932618,0.835182,0.938609,0.928109,23.653
w/o char_type,UD_Chinese-HK,1004,0.920057,0.805775,0.930993,0.935455,10.38
w/o local_context,UD_Chinese-GSD,500,0.933421,0.837617,0.942838,0.934317,26.404
w/o local_context,UD_Chinese-PUD,1000,0.929881,0.827701,0.935527,0.925507,23.797
w/o local_context,UD_Chinese-HK,1004,0.919648,0.802274,0.929325,0.933536,10.486
w/o traditional_signal,UD_Chinese-GSD,500,0.930106,0.827249,0.934215,0.92505,26.654
w/o traditional_signal,UD_Chinese-PUD,1000,0.927417,0.82221,0.930414,0.920128,23.97
w/o traditional_signal,UD_Chinese-HK,1004,0.922343,0.807487,0.927871,0.931919,10.545
w/o lexicon_crossing,UD_Chinese-GSD,500,0.935955,0.857501,0.961154,0.950579,23.854
w/o lexicon_crossing,UD_Chinese-PUD,1000,0.931861,0.836855,0.952252,0.941709,22.074
w/o lexicon_crossing,UD_Chinese-HK,1004,0.89477,0.753553,0.92337,0.925947,9.439
w/o lexicon_edge,UD_Chinese-GSD,500,0.927503,0.82235,0.932067,0.923764,27.058
w/o lexicon_edge,UD_Chinese-PUD,1000,0.921757,0.81184,0.925043,0.91535,24.397
w/o lexicon_edge,UD_Chinese-HK,1004,0.920067,0.803852,0.926211,0.931083,10.644
w/o position,UD_Chinese-GSD,500,0.933861,0.838666,0.942273,0.933946,26.484
w/o position,UD_Chinese-PUD,1000,0.930056,0.828491,0.935138,0.925373,23.877
w/o position,UD_Chinese-HK,1004,0.920102,0.803467,0.929444,0.933934,10.503
