threshold,strict_boundary_f1,strict_span_f1,relaxed_boundary_f1,relaxed_span_f1,mean_token_count,setting
0.25,0.991945,0.98129,0.994247,0.992184,25.338,single_gsd
0.275,0.991862,0.98105,0.994081,0.992025,25.33,single_gsd
0.3,0.991941,0.981043,0.993914,0.991864,25.31,single_gsd
0.325,0.991939,0.980961,0.993831,0.991705,25.302,single_gsd
0.35,0.991936,0.980953,0.993829,0.991544,25.282,single_gsd
0.375,0.991893,0.980671,0.993539,0.991185,25.268,single_gsd
0.4,0.992014,0.980626,0.993331,0.990906,25.254,single_gsd
0.425,0.991888,0.980107,0.993041,0.990548,25.24,single_gsd
0.45,0.99168,0.979508,0.992833,0.99011,25.226,single_gsd
0.475,0.991719,0.979621,0.992872,0.990068,25.212,single_gsd
0.5,0.9918,0.979697,0.992789,0.989987,25.204,single_gsd
0.525,0.991675,0.979338,0.992664,0.989867,25.198,single_gsd
0.55,0.99155,0.978978,0.992539,0.989588,25.188,single_gsd
0.575,0.991339,0.978295,0.992247,0.989227,25.166,single_gsd
0.6,0.991047,0.977456,0.991873,0.988629,25.148,single_gsd
0.625,0.990837,0.976613,0.991415,0.98795,25.126,single_gsd
0.65,0.990545,0.975693,0.99104,0.986954,25.108,single_gsd
0.675,0.990335,0.974931,0.990748,0.986593,25.09,single_gsd
0.7,0.990209,0.97465,0.990623,0.986472,25.084,single_gsd
0.725,0.989833,0.973726,0.990246,0.98595,25.062,single_gsd
0.75,0.989541,0.972885,0.989954,0.985351,25.048,single_gsd
0.25,0.991822,0.981093,0.994206,0.992145,25.34,single_gsdsimp
0.275,0.99178,0.980894,0.994164,0.992105,25.334,single_gsdsimp
0.3,0.991776,0.980806,0.993997,0.991864,25.31,single_gsdsimp
0.325,0.991899,0.981001,0.993955,0.991824,25.304,single_gsdsimp
0.35,0.991936,0.981032,0.993911,0.991623,25.282,single_gsdsimp
0.375,0.991893,0.98075,0.993621,0.991264,25.268,single_gsdsimp
0.4,0.99189,0.980428,0.99329,0.990787,25.252,single_gsdsimp
0.425,0.991764,0.979908,0.993,0.990429,25.238,single_gsdsimp
0.45,0.991761,0.9799,0.992997,0.990267,25.218,single_gsdsimp
0.475,0.991636,0.979542,0.992872,0.990068,25.212,single_gsdsimp
0.5,0.991717,0.979618,0.992789,0.989987,25.204,single_gsdsimp
0.525,0.991551,0.979139,0.992623,0.989827,25.196,single_gsdsimp
0.55,0.991426,0.978781,0.992498,0.989549,25.19,single_gsdsimp
0.575,0.991257,0.978216,0.992247,0.989306,25.166,single_gsdsimp
0.6,0.991047,0.977454,0.991872,0.988549,25.144,single_gsdsimp
0.625,0.990795,0.976492,0.991373,0.98775,25.12,single_gsdsimp
0.65,0.990626,0.97585,0.991039,0.987033,25.104,single_gsdsimp
0.675,0.99046,0.97537,0.990873,0.986793,25.096,single_gsdsimp
0.7,0.990292,0.974967,0.990705,0.98671,25.084,single_gsdsimp
0.725,0.989875,0.973925,0.990288,0.98607,25.064,single_gsdsimp
0.75,0.989499,0.972844,0.989912,0.985231,25.046,single_gsdsimp
0.25,0.991928,0.981316,0.994228,0.992009,25.355,joint_gsd_gsdsimp
0.275,0.992007,0.981389,0.994144,0.992086,25.339,joint_gsd_gsdsimp
0.3,0.991964,0.981107,0.993937,0.991807,25.325,joint_gsd_gsdsimp
0.325,0.991858,0.980884,0.993873,0.991666,25.308,joint_gsd_gsdsimp
0.35,0.991774,0.980484,0.993625,0.991348,25.296,joint_gsd_gsdsimp
0.375,0.99208,0.980933,0.993479,0.991207,25.281,joint_gsd_gsdsimp
0.4,0.992099,0.980949,0.993375,0.991028,25.272,joint_gsd_gsdsimp
0.425,0.992139,0.980985,0.993332,0.990829,25.262,joint_gsd_gsdsimp
0.45,0.991931,0.980308,0.993124,0.99047,25.248,joint_gsd_gsdsimp
0.475,0.991764,0.979749,0.992876,0.990112,25.236,joint_gsd_gsdsimp
0.5,0.991556,0.979152,0.992668,0.989833,25.226,joint_gsd_gsdsimp
0.525,0.99176,0.97974,0.992872,0.990028,25.212,joint_gsd_gsdsimp
0.55,0.991676,0.979499,0.992789,0.989868,25.204,joint_gsd_gsdsimp
0.575,0.99153,0.979,0.99256,0.989609,25.193,joint_gsd_gsdsimp
0.6,0.991445,0.978598,0.992311,0.989289,25.179,joint_gsd_gsdsimp
0.625,0.991195,0.977958,0.992144,0.989128,25.165,joint_gsd_gsdsimp
0.65,0.991107,0.977271,0.991602,0.988091,25.135,joint_gsd_gsdsimp
0.675,0.991022,0.97687,0.991435,0.987771,25.123,joint_gsd_gsdsimp
0.7,0.990646,0.975868,0.991059,0.987091,25.101,joint_gsd_gsdsimp
0.725,0.990355,0.975028,0.990768,0.986731,25.087,joint_gsd_gsdsimp
0.75,0.990104,0.974387,0.990518,0.986489,25.075,joint_gsd_gsdsimp
